1, 7, 1, 1, 26, Pagado, 240110
2, 7, 2, 2, 9, Pagado, 240110
3, 7, 15, 1, 41, Pagado, 240110
4, 9, 12, 3, 9, Pendiente, 240110
5, 7, 8, 4, 6, Pendiente, 240110
6, 10, 12, 3, 9, Pendiente, 240110
7, 9, 14, 3, 36, Pendiente, 240110
8, 1, 1, 1, 26, Pagado, 240111
9, 1, 2, 5, 9, Pagado, 240111
10, 110, 12, 1, 9, Pendiente, 240111
11, 101, 9, 2, 3, Pendiente, 240111
12, 2, 13, 1, 7, Pagado, 240112
13, 2, 10, 1, 4, Pagado, 240112
14, 111, 3, 5, 4, Pendiente, 240112
15, 10, 1, 1, 26, Pagado, 240112
16, 10, 2, 1, 9, Pagado, 240112
17, 10, 3, 1, 4, Pagado, 240112
18, 6, 14, 2, 36, Pendiente, 240113
19, 1, 5, 2, 2, Pagado, 240113
20, 1, 6, 2, 3, Pagado, 240113
21, 1, 7, 2, 16, Pagado, 240113
22, 1, 8, 2, 6, Pagado, 240113
23, 1, 9, 2, 3, Pagado, 240113
24, 21, 11, 3, 50, Pendiente, 240113
25, 41, 7, 2, 16, Pendiente, 240113
26, 2, 11, 1, 30, Pagado, 240114
27, 2, 6, 3, 3, Pagado, 240114
28, 2, 7, 2, 16, Pagado, 240114
29, 91, 5, 4, 2, Pendiente, 240115
30, 2, 15, 4, 41, Pagado, 240115
31, 2, 5, 2, 2, Pagado, 240115
32, 2, 1, 3, 26, Pagado, 240115
33, 2, 4, 5, 5, Pagado, 240115
34, 45, 14, 3, 36, Pendiente, 240116
35, 35, 13, 5, 7, Pendiente, 240116
36, 55, 12, 3, 9, Pendiente, 240116
37, 95, 1, 2, 26, Pendiente, 240116
38, 6, 8, 1, 6, Pagado, 240116
39, 6, 10, 2, 4, Pagado, 240116
40, 51, 1, 3, 26, Pendiente, 240117
41, 6, 2, 5, 9, Pagado, 240117
42, 1, 9, 2, 3, Pagado, 240117
43, 1, 5, 5, 2, Pagado, 240117
44, 1, 11, 3, 30, Pagado, 240117
45, 1, 14, 2, 36, Pagado, 240117
46, 93, 11, 5, 30, Pendiente, 240118
47, 10, 8, 1, 6, Pagado, 240118
48, 10, 10, 3, 4, Pagado, 240118
49, 66, 15, 2, 41, Pendiente, 240118
50, 66, 11, 3, 30, Pendiente, 240119
51, 3, 5, 3, 2, Pagado, 240119
52, 3, 4, 5, 5, Pagado, 240119
53, 3, 6, 5, 3, Pagado, 240119
54, 43, 5, 10, 2, Pendiente, 240120
55, 43, 4, 11, 5, Pendiente, 240120
56, 211, 6, 4, 3, Pendiente, 240120
57, 160, 1, 10, 26, Pendiente, 240120
58, 2, 8, 4, 6, Pagado, 240120
59, 2, 14, 3, 36, Pagado, 240120
60, 2, 13, 3, 7, Pagado, 240120
61, 9, 14, 4, 36, Pagado, 240121
62, 9, 1, 3, 26, Pagado, 240121
63, 31, 14, 1, 36, Pendiente, 240121
64, 71, 1, 5, 26, Pendiente, 240121
65, 211, 13, 2, 7, Pendiente, 240122
66, 611, 15, 4, 41, Pendiente, 240122
67, 3, 4, 1, 5, Pagado, 240123
68, 3, 9, 5, 3, Pagado, 240123
69, 3, 1, 1, 26, Pagado, 240123
70, 81, 9, 3, 3, Pendiente, 240123
71, 1, 7, 4, 16, Pagado, 240124
72, 1, 9, 1, 3, Pagado, 240124
73, 4, 4, 3, 5, Pagado, 240124
74, 4, 11, 2, 30, Pagado, 240124
75, 4, 15, 4, 41, Pagado, 240124
76, 115, 9, 5, 3, Pendiente, 240124
77, 9, 4, 5, 5, Pagado, 240125
78, 9, 7, 4, 16, Pagado, 240125
79, 88, 12, 2, 9, Pendiente, 240125
80, 4, 3, 3, 4, Pagado, 240125
81, 4, 4, 1, 5, Pagado, 240125
82, 4, 11, 2, 30, Pagado, 240125
83, 4, 13, 7, 7, Pagado, 240125
84, 4, 15, 2, 41, Pagado, 240125
85, 4, 14, 5, 36, Pagado, 240125
86, 47, 4, 3, 5, Pendiente, 240126
87, 77, 11, 2, 30, Pendiente, 240126
88, 27, 15, 4, 41, Pendiente, 240126
89, 1, 1, 8, 26, Pagado, 240126
90, 1, 5, 5, 2, Pagado, 240126
91, 1, 7, 5, 16, Pagado, 240126
92, 97, 4, 4, 5, Pendiente, 240202
93, 67, 7, 3, 16, Pendiente, 240203
94, 97, 4, 2, 5, Pendiente, 240204
95, 107, 1, 4, 26, Pendiente, 240205
96, 89, 5, 5, 2, Pendiente, 240206
97, 79, 3, 5, 4, Pendiente, 240207
98, 109, 7, 4, 16, Pendiente, 240208
99, 119, 3, 1, 4, Pendiente, 240209
100, 39, 15, 5, 41, Pendiente, 240210
